ID,W1WG2: CM - Information retrieval,"W2WG2: BL - AI, a modern approach (ch 1)",W3WG1:  CM - Evolutionary robotics,presentation 1,samenvatting (groep),DT1,W5WG1: BL - Complex adaptive systems,W6WG1: CM - Knowledge representation,W7WG1: BL - Deep learning,presentation 2,Poster presentation (group),DT2,Eindcijfer
65,7.0,8.0,6.5,8.0,7.00,6.5,8.0,7.0,8.0,8.5,8.00,7.0,7.31
66,7.0,7.0,5.0,7.0,5.50,5.0,8.0,7.0,7.0,7.0,8.75,4.5,6.02
67,7.0,6.0,6.0,6.0,7.00,5.0,8.0,7.0,7.0,8.0,8.00,6.0,6.49
68,6.0,7.0,9.0,7.0,6.00,6.0,9.0,7.0,8.0,7.0,8.25,5.5,6.69
69,7.0,8.0,4.0,5.0,3.00,5.0,7.0,7.0,7.0,7.0,7.50,5.0,5.58
70,6.0,5.0,6.5,7.0,8.50,6.0,6.5,7.0,7.0,7.0,8.00,5.5,6.69
71,9.0,8.0,6.0,8.0,2.00,4.5,9.0,7.0,7.0,7.0,7.50,3.5,5.25
72,7.0,8.0,5.5,8.0,7.50,5.0,7.5,7.0,7.5,7.5,7.25,4.0,6.05
73,7.0,6.5,5.5,7.0,6.00,6.5,7.0,7.0,7.5,8.0,7.00,5.5,6.50
74,4.0,6.5,7.0,7.0,3.00,5.0,7.0,7.0,7.0,7.0,6.25,2.0,4.68
75,6.0,8.0,8.0,8.0,6.50,7.0,7.0,7.0,8.0,8.0,8.50,3.5,6.53
76,6.0,9.0,8.0,6.0,7.00,5.5,8.0,7.0,7.0,8.0,8.00,6.0,6.75
77,7.0,7.0,5.0,7.0,6.50,6.0,8.0,7.0,7.0,7.0,8.75,5.5,6.64
78,8.0,9.0,7.0,7.0,8.50,9.0,7.0,7.0,8.0,8.0,8.75,6.0,7.97
79,4.0,4.0,5.0,6.0,5.50,6.0,5.0,7.0,6.0,8.0,9.00,3.0,5.58
80,7.0,7.0,5.5,8.0,6.00,5.0,7.0,7.0,7.0,7.0,8.00,4.5,6.00
81,6.0,7.0,5.0,7.0,8.50,7.0,6.0,7.0,6.0,8.0,7.25,5.5,6.85
82,7.0,9.0,9.0,7.0,9.50,8.5,9.0,7.0,8.0,9.0,8.50,8.0,8.58
84,6.0,7.0,5.0,7.0,8.50,6.5,8.0,7.0,6.0,7.0,7.50,5.0,6.67
85,9.0,8.0,6.0,8.0,5.00,4.5,9.0,7.0,7.0,7.0,7.50,3.0,5.50
86,4.0,6.5,7.0,7.0,0.00,4.5,7.0,7.0,7.0,7.0,6.25,4.5,4.81
87,4.0,8.0,8.0,9.0,5.00,4.0,7.0,7.0,8.0,9.0,8.50,5.5,6.08
88,4.0,8.0,8.0,9.0,6.00,6.0,7.0,7.0,8.0,9.0,8.50,6.0,6.83
89,6.0,5.0,7.0,6.0,7.50,6.0,5.0,7.0,7.0,5.0,6.50,5.0,6.13
91,6.0,5.0,6.5,7.0,8.50,8.0,6.5,7.0,7.0,7.0,8.00,7.0,7.57
92,6.0,5.0,7.0,6.0,6.50,6.0,5.0,7.0,7.0,5.0,6.50,3.5,5.63
93,7.0,6.5,5.5,7.0,8.50,6.0,7.0,7.0,7.5,8.0,7.00,5.0,6.56
94,6.0,7.0,5.0,7.0,5.00,7.5,8.0,7.0,6.0,7.0,7.50,5.5,6.60
95,5.0,5.0,5.0,8.0,4.00,5.5,7.0,7.0,6.0,7.0,8.50,7.0,6.37
96,6.0,8.0,8.0,8.0,8.00,7.5,7.0,7.0,8.0,8.0,8.00,7.0,7.65
97,7.0,6.0,6.0,6.0,6.50,6.0,8.0,7.0,7.0,8.0,8.00,3.0,5.92
98,5.0,7.0,8.0,8.0,7.50,4.0,7.0,7.0,8.0,9.0,8.50,6.0,6.49
99,6.0,8.0,9.0,6.0,8.00,6.0,8.0,7.0,8.0,7.0,8.00,5.5,6.88
100,8.0,7.0,8.0,7.0,9.00,5.5,8.0,7.0,7.0,8.0,6.50,6.0,6.84
101,8.0,7.0,8.0,7.0,9.00,4.5,8.0,7.0,7.0,8.0,6.50,6.0,6.59
102,4.0,4.0,5.0,6.0,5.00,7.5,5.0,7.0,7.0,8.0,9.00,5.0,6.42
103,6.0,7.0,6.0,8.0,7.00,6.5,7.0,7.0,8.0,8.0,7.75,6.0,6.89
104,7.0,5.0,7.0,7.0,6.00,6.5,6.0,7.0,7.0,6.0,5.75,3.0,5.60
105,8.0,7.0,8.0,8.0,9.00,7.5,8.0,7.0,8.0,8.0,7.75,8.0,8.07
106,7.0,8.0,5.0,7.0,6.00,6.0,7.0,7.5,7.0,8.5,8.00,5.0,6.43
107,6.0,7.0,6.0,8.0,7.00,6.5,7.0,7.5,7.0,8.0,6.00,4.5,6.28
108,8.0,5.0,5.0,7.0,7.00,4.5,8.0,7.5,6.0,7.0,6.00,5.0,5.81
109,6.0,7.0,6.0,8.0,9.00,8.0,7.0,7.5,7.0,8.5,7.00,6.0,7.42
110,7.0,8.0,5.0,8.0,7.00,5.5,7.0,7.5,7.0,7.0,8.00,5.0,6.41
111,6.0,5.0,5.0,8.0,6.50,7.0,8.0,7.5,6.0,7.0,7.00,5.0,6.46
112,7.0,6.0,8.0,7.0,5.50,5.0,9.0,8.0,7.0,6.0,8.00,4.5,6.03
