Student ID,Cmap: Information retrieval,BL: Computer vision,Cmap: Evolutionary computation,Eerste werkgroep presentatie,Wetenschappelijke samenvatting,Deeltoets 1,BL: Belief-Desire-Intention (BDI) Framework,Cmap: What is a Knowledge Representation?,BL: Deep learning,Tweede werkgroep presentatie,Academische Poster,Deeltoets 2,Eindcijfer
126,7.00,8.00,4.00,8.00,4.00,6.50,8.00,6.00,8.00,6.00,6.25,7.50,6.69
119,6.00,6.00,5.00,8.00,8.00,4.50,7.00,7.00,7.00,9.00,6.75,4.00,5.88
38,9.00,8.00,5.00,5.00,8.00,6.50,7.00,7.00,6.00,5.00,7.00,7.00,7.06
68,7.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
7,9.00,7.00,8.00,6.00,8.00,9.00,7.00,8.00,6.00,7.00,6.75,6.00,7.61
93,6.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
60,6.00,7.00,7.00,7.50,8.50,7.50,6.00,6.50,6.00,7.00,7.00,7.00,7.40
144,7.00,8.00,4.00,8.00,3.00,6.00,8.00,6.00,8.00,6.00,6.50,3.00,5.35
121,6.00,6.00,6.00,7.50,3.00,0.00,6.00,0.00,0.00,7.00,7.00,0.00,2.59
69,9.00,8.00,7.00,7.00,7.50,5.00,8.00,7.00,6.00,7.00,9.00,3.00,6.11
48,9.00,7.00,9.00,8.00,8.00,7.00,8.00,9.00,7.00,9.00,8.25,5.00,7.32
80,0.00,7.00,2.00,7.00,5.00,4.50,7.00,0.00,7.00,5.00,6.50,4.50,4.90
23,9.00,6.00,7.00,7.50,6.00,5.00,7.00,7.00,9.00,8.00,7.75,2.50,5.69
120,5.00,7.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59
8,7.00,8.00,5.00,7.00,6.00,6.00,7.00,7.00,8.00,8.00,8.00,3.00,5.98
118,6.00,5.00,4.00,7.00,6.00,5.00,8.00,6.00,6.00,6.00,6.50,2.00,4.98
3,9.00,8.00,5.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,7.00,0.00,2.58
92,6.00,7.00,6.00,6.00,7.00,7.00,6.00,8.00,7.00,8.00,7.00,7.00,7.13
30,6.00,8.00,5.00,6.00,8.50,7.00,6.00,8.00,7.00,7.00,7.75,7.00,7.37
18,9.00,7.00,5.00,8.00,8.50,5.50,8.00,8.00,8.00,8.00,7.75,3.00,6.27
5,5.00,8.00,7.00,9.00,6.50,7.50,8.00,7.00,8.00,9.00,7.50,6.00,7.24
102,6.00,7.00,7.00,5.00,7.50,5.50,7.00,6.50,6.00,7.00,7.00,4.50,6.10
128,7.00,9.00,8.00,8.00,0.00,6.50,9.00,8.00,8.00,9.00,6.75,7.50,6.64
82,6.00,8.00,7.00,7.00,6.50,6.00,8.00,7.00,7.00,7.00,6.75,6.00,6.64
43,5.00,8.00,7.00,7.00,7.00,5.50,7.00,7.00,8.00,8.00,7.50,8.50,7.29
6,9.00,9.00,8.00,9.00,9.00,8.50,9.00,8.00,8.00,8.00,7.50,9.00,8.80
132,9.00,7.00,6.00,8.00,7.00,6.50,8.00,6.00,8.00,7.00,10.00,4.00,6.80
17,6.00,8.00,4.50,7.00,7.00,6.50,8.00,8.00,6.50,5.50,7.25,4.00,6.26
104,6.00,7.00,2.00,0.00,7.50,5.50,7.00,0.00,7.00,5.00,6.50,2.50,4.93
50,7.00,7.00,8.00,6.00,8.50,6.00,9.00,7.00,7.00,6.00,7.50,4.00,6.48
12,3.00,6.00,8.00,5.50,7.00,8.00,7.00,7.00,5.50,6.50,8.75,5.50,7.03
15,6.00,4.00,8.00,5.00,6.00,5.50,8.00,7.00,7.00,6.00,6.75,4.50,5.86
16,5.00,7.00,8.00,8.00,5.50,4.50,0.00,8.00,7.00,0.00,7.75,3.50,5.15
129,6.00,8.00,5.00,6.00,8.00,2.50,6.00,8.00,7.00,7.00,7.25,4.50,5.50
42,9.00,6.00,7.00,9.00,9.00,1.00,7.00,7.00,6.00,8.00,9.00,4.00,5.55
77,4.00,8.50,7.50,8.00,7.00,6.50,7.50,8.00,7.50,8.00,7.50,7.00,7.24
108,9.00,7.00,5.00,8.00,8.00,6.00,7.00,8.00,8.00,9.00,7.75,4.50,6.71
115,7.00,8.50,4.00,8.00,6.50,9.00,8.00,5.50,7.50,7.00,7.50,6.50,7.55
1,9.00,9.00,9.00,9.00,10.00,10.00,9.00,9.00,9.00,9.00,10.00,10.00,10.00
65,6.00,5.00,4.00,5.00,5.00,3.00,8.00,6.00,6.00,5.00,6.50,4.50,4.88
143,9.00,7.00,7.00,7.00,7.50,7.00,8.00,6.50,7.00,6.50,7.00,5.00,6.83
114,9.00,7.00,6.00,8.00,8.50,4.50,8.00,6.00,8.00,7.00,8.50,0.00,5.30
141,6.00,8.00,4.00,8.50,6.00,7.50,8.00,8.00,6.50,6.50,7.25,4.50,6.58
145,7.00,7.50,5.50,7.00,6.00,4.50,8.00,8.50,8.00,6.50,8.75,3.50,5.86
33,6.00,6.00,5.00,9.00,7.50,6.50,6.00,6.00,6.00,7.00,7.00,5.00,6.46
46,9.00,8.00,8.00,7.00,9.00,6.50,9.00,8.00,9.00,9.00,7.75,6.50,7.67
136,9.00,8.00,6.00,8.00,6.00,6.00,9.00,8.00,6.00,7.00,7.00,6.00,6.74
11,6.00,6.00,4.50,5.00,7.00,5.50,7.00,6.50,4.50,5.00,7.00,3.00,5.42
95,9.00,8.00,8.00,8.00,6.00,6.00,8.00,9.00,8.00,7.00,10.00,5.00,7.01
146,9.00,7.00,6.00,8.00,7.00,6.50,7.00,6.00,8.00,7.00,6.25,6.00,6.80
51,6.00,6.00,5.00,8.00,8.00,3.50,7.00,7.00,7.00,9.00,7.75,4.00,5.75
133,8.00,8.50,7.00,8.00,8.50,8.00,8.50,7.50,7.00,7.50,7.50,7.50,8.03
34,4.00,8.50,7.50,8.00,7.50,4.50,7.50,8.00,7.50,8.00,7.25,3.00,5.77
62,7.00,6.00,7.00,8.00,7.00,4.50,8.00,5.00,8.00,0.00,7.75,2.50,5.30
79,9.00,7.00,8.00,5.00,6.00,4.50,6.00,7.00,5.00,7.00,9.00,5.50,6.25
109,5.00,7.00,5.00,5.00,6.00,5.50,7.00,8.00,6.00,7.00,6.25,2.00,5.14
100,8.00,8.00,7.50,8.50,8.00,8.00,8.00,8.00,7.00,7.00,9.00,4.50,7.40
49,5.00,7.00,3.00,8.00,5.00,4.50,0.00,8.00,7.00,0.00,7.50,2.50,4.63
67,9.00,8.00,7.00,7.00,9.00,8.50,9.00,8.00,8.00,7.00,8.00,6.00,7.94
123,6.00,7.00,4.00,6.00,7.00,3.50,8.00,5.00,8.00,6.00,7.75,5.50,5.83
56,6.00,6.00,7.00,8.00,9.50,6.50,9.00,8.00,8.00,8.00,10.00,9.00,8.40
103,9.00,7.00,5.00,8.00,8.50,5.50,8.00,8.00,8.00,8.00,7.75,3.50,6.40
150,6.00,6.00,6.00,8.00,6.00,7.50,6.00,7.00,6.00,6.50,7.75,6.50,7.01
32,5.00,8.00,7.00,8.00,9.50,0.00,8.00,5.00,7.00,8.00,9.00,6.00,5.76
140,6.00,8.00,9.00,6.00,7.50,4.00,7.00,8.00,7.00,7.00,7.25,5.50,6.23
29,6.00,8.00,9.00,6.00,8.50,4.00,7.00,8.00,7.00,7.00,6.75,4.00,5.92
14,6.00,8.00,7.00,6.00,9.00,7.50,7.00,8.00,9.00,8.00,7.50,7.50,7.86
10,6.00,8.00,7.00,8.00,6.50,4.50,0.00,8.00,7.00,7.00,7.50,3.00,5.40
35,6.00,0.00,6.00,7.50,8.00,4.00,8.00,7.00,8.00,6.50,8.00,4.50,5.83
86,5.00,8.00,7.00,7.00,7.50,4.50,8.00,7.00,8.00,8.00,7.50,4.50,6.14
54,7.00,6.00,7.00,8.00,6.00,7.00,8.00,5.00,8.00,0.00,6.50,5.50,6.39
135,6.00,5.00,7.00,6.00,6.00,4.50,7.00,8.00,6.00,7.00,7.50,5.50,5.99
87,9.00,8.00,6.00,8.00,8.00,7.50,9.00,8.00,6.00,7.00,10.00,4.50,7.37
124,9.00,8.00,8.00,8.00,8.50,9.00,8.00,9.00,8.00,7.00,8.50,6.00,8.13
9,9.00,7.00,6.00,7.00,8.50,4.50,7.00,6.00,6.00,7.00,6.75,4.50,6.07
88,9.00,6.00,8.00,7.00,6.00,5.50,6.00,7.00,6.00,7.00,9.00,6.00,6.69
57,9.00,7.00,7.00,6.00,9.00,4.00,9.00,8.00,8.00,8.00,7.50,4.50,6.34
137,9.00,7.00,4.00,5.00,6.50,6.00,7.00,5.00,5.00,7.00,6.25,3.50,5.67
139,8.00,8.00,8.00,7.00,7.00,6.50,9.00,8.00,8.00,7.00,7.50,5.00,6.88
