ID,Week 1b: BL Deep Learning,Week 2a: CM - Information Retrieval,Week 3a: CM - Evolutionary Computation,Eerste Werkcollege Presentatie,Deeltoets 01,Week 5a: BL - Computer Vision,Week 6a: CM - Virtual Agents,Week 7a: KAVV - Turing ,Tweede Werkcollege Presentatie,Eindversie Poster,Deeltoets 02,Eindcijfer UvA
101,6.5,7,7,8,8.7,6,6,6,6,6.4,7,7.5
102,8,9,8,8,5.8,7,8,7,8.5,8.5,5.1,7
103,8,6.5,8,8,7.8,7,6,8,7,7.9,4,7
104,7,6.5,8,9,5.5,7,8,8,9,9.4,7,7.5
105,7,8,6,8,6.5,6,6,6,8,9.1,6.6,7.5
106,7,7,4,9,7.4,5,5,5.5,8.5,9.4,7,7.5
107,9,6,5,6,6.5,9,7,0,7,6,6.3,6.5
108,8,6,7,6.5,6.5,8,7,0,6,6,6.3,6.5
109,7,6.5,8,9,7.8,7,8,8,9,9.4,5.5,8
110,7,7,8,5.5,7.1,7,7,7,8,9.4,5.1,7
111,8,7,7,8,4.2,9,0,6,7.5,6.7,5.9,6
112,8,7,8,7,6.8,9,5,9,6,7.9,6.6,7.5
113,7,5,7,7,7.4,7,7,7,7.5,7.3,8.5,7.5
114,8,9,9,5,9.4,8,8,9,8,7.6,8.5,8.5
115,8,7,7,8,8.7,9,7.5,7,8,9.4,7.8,8.5
116,9,8,8,9,8.4,7,7,9,8,9.1,6.6,8.5
117,7.5,8,9,7.5,8.1,6,9,8,6,6.7,7.4,8
118,7,7,8,7.5,5.8,6,8,7,7.5,7.3,5.1,6.5
119,8,6.5,8,8,8.7,7,6,8,7,9.4,7,8
120,8,8,8,8,8.4,8,8,9,9,9.4,4,7.5
121,7,8,7,8,7.1,7,8,7,8.5,6.4,4.4,6.5
122,7,6,8,8,8.4,9,8,6,8,9.4,5.9,8
123,8,8,7,8,6.1,7,6,8,8,7.9,4,6.5
124,5,6,9,8,7.4,7,9,9,8,7.3,6.3,7.5
125,8,6,7.5,8,7.1,9,8,9,8.5,6.7,6.6,7.5
126,7,7,8,5.5,7.4,7,7,7,8,9.4,4,7
127,7.5,8,7.5,8,7.8,9,7,7.5,8,6.7,6.6,7.5
128,7,5.5,8,7,8.7,7,7.5,4,7,8.2,7,7.5
129,8,9,8,8,7.4,8,9,8,8,7.6,7,8
130,7,7,8,7,6.5,7,8,7,8,8.2,7.4,7.5
131,8,7,7,8,5.5,6,6,6,6,6.4,3.6,6
132,7,6,8,8,6.1,9,8,6,8,9.4,7.4,7.5
133,8,8,7,8,6.5,8,7,9,8,7.9,5.1,7
134,9,8,8,9,6.5,8,9,9,8.5,8.5,8.1,8
135,6,5,5,8,8.1,7,5,6,7,7.9,5.9,7
